"codigo_ocorrencia","codigo_ocorrencia2","ocorrencia_classificacao","ocorrencia_cidade","ocorrencia_uf","ocorrencia_aerodromo","ocorrencia_dia","ocorrencia_hora","total_recomendacoes"
"81027","81027","INCIDENTE GRAVE","SÃO PAULO","SP","SBSP","10/9/2022","16:30:00","0"
"81030","81030","INCIDENTE","VITÓRIA","ES","SBVT","10/9/2022","16:20:00","0"
"81023","81023","INCIDENTE GRAVE","AMERICANA","SP","SDAI","10/6/2022","15:30:00","0"
"81029","81029","INCIDENTE","BELO HORIZONTE","MG","SBBH","10/6/2022","0:44:00","0"
"81025","81025","INCIDENTE","MANAUS","AM","SBEG","10/5/2022","20:56:00","0"
"81019","81019","ACIDENTE","PORTO ALEGRE","RS","***","10/3/2022","20:50:00","0"
"81022","81022","INCIDENTE","LOBATO","PR","***","10/3/2022","15:38:00","0"
"81021","81021","ACIDENTE","NOVA BANDEIRANTES","MT","***","10/2/2022","19:00:00","0"
"81009","81009","INCIDENTE GRAVE","NAVIRAÍ","MS","**NI","10/1/2022","10:10:00","0"
"81012","81012","INCIDENTE","LINHARES","ES","***","9/30/2022","12:20:00","0"
"81017","81017","INCIDENTE GRAVE","GOIÂNIA","GO","SBNV","9/30/2022","13:40:00","0"
"81006","81006","INCIDENTE","UBERLÂNDIA","MG","SBUL","9/28/2022","12:55:00","0"
"81014","81014","ACIDENTE","BOA VISTA","RR","***","9/27/2022","0:00:00","0"
"81003","81003","INCIDENTE GRAVE","ARAÇATUBA","SP","SBAU","9/26/2022","18:30:00","0"
"81001","81001","INCIDENTE","BRAGANÇA PAULISTA","SP","SBBP","9/25/2022","20:00:00","0"
"81018","81018","ACIDENTE","LONTRAS","SC","***","9/24/2022","20:05:00","0"
"81000","81000","INCIDENTE","TERESINA","PI","SBTE","9/22/2022","9:50:00","0"
"81002","81002","INCIDENTE","QUERÊNCIA","MT","***","9/22/2022","18:00:00","0"
"80997","80997","INCIDENTE","GUARULHOS","SP","SBGR","9/21/2022","11:30:00","0"
